P166	award received (P166)
P1346	winner (P1346)
P17	country (P17)
P185	doctoral student (P185)
P793	significant event (P793)
P937	work location (P937)
P608	exhibition history (P608)
P61	discoverer or inventor (P61)
P1343	described by source (P1343)
P106	occupation (P106)
P770	cause of destruction (P770)
P27	country of citizenship (P27)
P611	religious order (P611)
P131	located in the administrative territorial entity (P131)
P417	patron saint (P417)
P1376	capital of (P1376)
P122	basic form of government (P122)
P841	feast day (P841)
P36	capital (P36)
P361	part of (P361)
P138	named after (P138)
P366	has use (P366)
P150	contains the administrative territorial entity (P150)
P1001	applies to jurisdiction (P1001)
P37	official language (P37)
P119	place of burial (P119)
P38	currency (P38)
P47	shares border with (P47)
P85	anthem (P85)
P195	collection (P195)
P26	spouse (P26)
P2505	carries (P2505)
P137	operator (P137)
P53	family (P53)
P159	headquarters location (P159)
P1308	officeholder (P1308)
P97	noble title (P97)
P463	member of (P463)
P1056	product, material, or service produced or provided (P1056)
P108	employer (P108)
P3460	colonel-in-chief (P3460)
P127	owned by (P127)
P609	terminus location (P609)
P511	honorific prefix (P511)
P488	chairperson (P488)
P35	head of state (P35)
P551	residence (P551)
P123	publisher (P123)
P39	position held (P39)
P241	military branch (P241)
P3320	board member (P3320)
P735	given name (P735)
P466	occupant (P466)
P837	day in year for periodic occurrence (P837)
P1037	director / manager (P1037)
P612	mother house (P612)
P140	religion or worldview (P140)
P98	editor (P98)
P197	adjacent station (P197)
P176	manufacturer (P176)
P527	has part(s) (P527)
P3300	musical conductor (P3300)
P618	source of energy (P618)
P6	head of government (P6)
P516	powered by (P516)
P169	chief executive officer (P169)
P3919	contributed to creative work (P3919)
P102	member of political party (P102)
P2541	operating area (P2541)
P54	member of sports team (P54)
P5769	editor-in-chief (P5769)
P69	educated at (P69)
P1142	political ideology (P1142)
P734	family name (P734)
P641	sport (P641)
P1532	country for sport (P1532)
P1454	legal form (P1454)
P4330	contains (P4330)
P115	home venue (P115)
P276	location (P276)
P81	connecting line (P81)
P1029	crew member(s) (P1029)
P4791	commanded by (P4791)
P2868	subject has role (P2868)
P8047	country of registry (P8047)
P84	architect (P84)
P1411	nominated for (P1411)
P807	separated from (P807)
P1891	signatory (P1891)
P184	doctoral advisor (P184)
P1366	replaced by (P1366)
P112	founded by (P112)
P512	academic degree (P512)
P607	conflict (P607)
P7779	military unit (P7779)
P1416	affiliation (P1416)
P410	military or police rank (P410)
P126	maintained by (P126)
P3938	named by (P3938)
P118	league or competition (P118)
P1066	student of (P1066)
P2828	corporate officer (P2828)
P355	has subsidiary (P355)
P170	creator (P170)
P180	depicts (P180)
P4345	director of archaeological fieldwork (P4345)
P800	notable work (P800)
P1050	medical condition (P1050)
P411	canonization status (P411)
P451	unmarried partner (P451)
P5096	member of the crew of (P5096)
P1427	start point (P1427)
P1444	destination point (P1444)
P1365	replaces (P1365)
